review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,annotated,predicted_sentiment
82630669,Tecnomapas,Recepcionista,"Ex-funcionário(a), mais de um ano","Companheirismo entre os colegas, oportunidade de crescimento",2023-12-15,5.0,1,0,1
82630669,Tecnomapas,Recepcionista,"Ex-funcionário(a), mais de um ano",Não tive nenhum ponto negativo,2023-12-15,5.0,0,1,0
74420027,Tecnomapas,Analista Desenvolvedor,Ex-freelancer,Equipe bem prestativa e ótima de se trabalhar.,2023-03-11,4.0,1,0,1
74420027,Tecnomapas,Analista Desenvolvedor,Ex-freelancer,Modo home office ainda tem que ser melhorado.,2023-03-11,4.0,-1,0,2
60212043,Tecnomapas,Funcionário confidencial,"Ex-funcionário(a), menos de um ano",Única vantagem era o trabalho ser home office,2022-02-24,1.0,0,1,0
60212043,Tecnomapas,Funcionário confidencial,"Ex-funcionário(a), menos de um ano","Empresa não oferece salário compatível com mercado, plano de saúde com participação mínima da empresa, e falta de outros benefícios. Além de deixar seus funcionários sem orientação, serem desorganizados, não possuírem acompanhamento e falta de clareza nas tarefas a serem executadas.

Tentaram realizar o desligamento de forma a não pagarem todos os direitos trabalhistas, tentando lesar e enganar o colaborador.",2022-02-24,1.0,-1,0,2
60144095,Tecnomapas,Analista,Funcionário(a) atual,"Ambiente colaborativo, equipe preparada e comoreensiva",2022-02-22,5.0,1,0,1
60144095,Tecnomapas,Analista,Funcionário(a) atual,Nao tem  contras nessa empresa,2022-02-22,5.0,0,1,0
61592206,Tecnomapas,Técnico Em Geoprocessamento,"Ex-funcionário(a), mais de 3 anos",Empresa que ensina muito e contrata sem experiência,2022-03-22,1.0,1,0,1
61592206,Tecnomapas,Técnico Em Geoprocessamento,"Ex-funcionário(a), mais de 3 anos","Salários baixos, sem benéficos e ambiente hostil",2022-03-22,1.0,-1,0,2
53823703,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-prestador de serviços, mais de 3 anos",UMA EMPRESA QUE AJUDA AGREGAR CONHECIMENTOS,2021-10-11,4.0,1,0,1
53823703,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-prestador de serviços, mais de 3 anos","salario deixa a desejar , não possui plano de carreira.",2021-10-11,4.0,-1,0,2
27076314,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-funcionário(a), menos de um ano","Os outros colaboradores, as pessoas são agradáveis e o ambiente é leve, a empresa oferece refeitório dentro de suas acomodações, fica bem localizada na cidade.",2018-10-08,2.0,1,0,1
27076314,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-funcionário(a), menos de um ano","Não possui plano de carreira, nem benefícios, o profissional é pouco valorizado e não tem a chance de crescer dentro da empresa, não existe sala de descanso já que somos obrigados a almoçar dentro da empresa.",2018-10-08,2.0,-1,0,2
26628766,Tecnomapas,Analista De Desenvolvimento Pleno,Funcionário(a) atual,"Ambiente de trabalho, intervalos, plano de saúde, odontológico e oferece aulas de inglês para funcionários a um custo moderado.",2015-03-04,3.0,1,0,1
26628766,Tecnomapas,Analista De Desenvolvimento Pleno,Funcionário(a) atual,"´Vantagens que não são muito interessantes, oferece plano de saúde, mas a participação da empresa é mínima, oferece inglês para os funcionários a um custo razoável mas não monitora a qualidade do serviço prestado.",2015-03-04,3.0,-1,1,2
26632444,Tecnomapas,Desenvolvedor C#,Ex-funcionário(a),"Empresa flexível em relação a horários devido a ser banco de horas, possui intervalos durante o expediente. Ambiente propicio para aprendizado e a convivência é ótima com os colegas.",2015-03-18,1.0,1,0,1
26632444,Tecnomapas,Desenvolvedor C#,Ex-funcionário(a),"Pagamento de salários nunca é no dia certo. Existe um plano de cargos e salários que nem sempre é seguido, somente alguns funcionários são valorizados e ganham muito acima de outros devido a critérios nem sempre justos. Atualmente este não é um emprego estável.",2015-03-18,1.0,-1,0,2
43872197,Tecnomapas,Auxiliar De Analista De Sistemas,"Ex-estagiário, menos de um ano","Liderança acessível para conversa, investe nos próprios funcionários, salário um pouco acima da média, pessoal de boa de conversar.",2021-03-11,5.0,1,0,1
43872197,Tecnomapas,Auxiliar De Analista De Sistemas,"Ex-estagiário, menos de um ano",Estagiário não tem duas telas.,2021-03-11,5.0,-1,0,2
32706062,Tecnomapas,Analista De Sistemas,"Ex-funcionário(a), mais de um ano","Ótima companhia para se trabalhar, funcionários muito bem qualificados, ambiente de trabalho propício a produção.",2020-04-13,5.0,1,0,1
32706062,Tecnomapas,Analista De Sistemas,"Ex-funcionário(a), mais de um ano",Pouca diversificação de projetos. Clientes com demandas muito parecidas.,2020-04-13,5.0,-1,0,2
26629156,Tecnomapas,Analista De Sistemas Pleno,Funcionário(a) atual,"Possui horários de intervalos livres, podendo jogar, assistir serie ou filmes. Possui seguro de vida. Alimentação dentro da empresa.",2015-03-05,3.0,1,0,1
26629156,Tecnomapas,Analista De Sistemas Pleno,Funcionário(a) atual,Não possui plano de cargos e salários.,2015-03-05,3.0,-1,0,2
31986026,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,"Muito recente. Comecei a trabalhar lá agora, mas estou gostando muito do ambiente",2020-02-20,4.0,1,0,1
31986026,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,"Muito recente. Apesar disso, meu primeiro salário atrasou.",2020-02-20,4.0,-1,0,2
27056784,Tecnomapas,Auxiliar De Geoprocessamento,Funcionário(a) atual,"Os funcionários são a única coisa que valem a pena nessa empresa, são pessoas que se dedicam, se qualificam e não recebem o devido reconhecimento.",2018-09-06,1.0,0,1,0
27056784,Tecnomapas,Auxiliar De Geoprocessamento,Funcionário(a) atual,"Salário, não existe benefícios nem plano de carreira. A empresa simplesmente não liga em perder seus funcionários, tratam todos como temporários, não valorizam em nenhum aspectos seus colaboradores.",2018-09-06,1.0,-1,0,2
28674243,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,pioneira no mercado e com benefícios,2019-08-16,3.0,1,0,1
28674243,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,não possui RH atuante - acesso à alta diretoria,2019-08-16,3.0,-1,0,2
26664928,Tecnomapas,Programador Sênior,"Ex-funcionário(a), mais de 10 anos",Ambiente de trabalho muito bom,2015-06-12,4.0,1,0,1
26664928,Tecnomapas,Programador Sênior,"Ex-funcionário(a), mais de 10 anos",não tenho nada a reclamar da referida empresa,2015-06-12,4.0,0,1,0
41161137,Tecnomapas,Analista De Cadastro Júnior,"Ex-funcionário(a), mais de um ano","Ambiente de trabalho ótimo, gerente e supervisor companheiros",2021-01-21,3.0,1,0,1
41161137,Tecnomapas,Analista De Cadastro Júnior,"Ex-funcionário(a), mais de um ano",Salário não estava em dia,2021-01-21,3.0,-1,0,2
84998976,Amaggi,Movimentador,Funcionário(a) atual,Satisfação total adoro trabalhar lá,2024-03-04,5.0,1,0,1
84998976,Amaggi,Movimentador,Funcionário(a) atual,Nada contra a empresa muito boa,2024-03-04,5.0,1,1,1
84924212,Amaggi,Auxiliar Administrativo,"Ex-funcionário(a), mais de 5 anos","Muitos benefícios, vale alimentação, seguro de vida, plano de saúde e odontológico",2024-03-01,5.0,1,0,1
84924212,Amaggi,Auxiliar Administrativo,"Ex-funcionário(a), mais de 5 anos","Salário baixo, pouca remuneração para a área administrativa",2024-03-01,5.0,-1,0,2
